40   4.00   3.00   1.00    0.021    -27.29    -28.25      -Inf
40   4.00   3.00   1.00    0.042    -20.73    -21.79    -37.00
40   4.00   3.00   1.00    0.063    -17.96    -19.22    -30.86
40   4.00   3.00   1.00    0.084    -16.20    -17.68    -27.23
40   4.00   3.00   1.00    0.126    -14.15    -15.63    -23.04
40   4.00   3.00   1.00    0.168    -12.90    -13.99    -20.36
40   4.00   5.50   2.00    0.021    -23.82    -25.48      -Inf
40   4.00   5.50   2.00    0.042    -17.52    -18.83    -34.90
40   4.00   5.50   2.00    0.063    -15.19    -15.97    -28.80
40   4.00   5.50   2.00    0.084    -13.92    -14.22    -25.37
40   4.00   5.50   2.00    0.126    -12.39    -12.20    -21.73
40   4.00   5.50   2.00    0.168    -11.09    -10.85    -19.76
40   4.00   9.00   2.50    0.021    -21.59    -24.54      -Inf
40   4.00   9.00   2.50    0.042    -15.31    -17.79    -32.93
40   4.00   9.00   2.50    0.063    -13.04    -14.83    -26.82
40   4.00   9.00   2.50    0.084    -11.82    -13.02    -23.41
40   4.00   9.00   2.50    0.126    -10.45    -10.92    -19.90
40   4.00   9.00   2.50    0.168     -9.32     -9.50    -18.32
40   4.00  15.00   3.50    0.021    -19.74    -23.73      -Inf
40   4.00  15.00   3.50    0.042    -13.43    -16.86    -30.99
40   4.00  15.00   3.50    0.063    -11.15    -13.79    -24.88
40   4.00  15.00   3.50    0.084     -9.95    -11.90    -21.45
40   4.00  15.00   3.50    0.126     -8.68     -9.69    -17.90
40   4.00  15.00   3.50    0.168     -7.63     -8.23    -16.48
40   4.00  22.00   4.00    0.021    -18.64    -23.28      -Inf
40   4.00  22.00   4.00    0.042    -12.30    -16.33    -29.79
40   4.00  22.00   4.00    0.063    -10.01    -13.19    -23.61
40   4.00  22.00   4.00    0.084     -8.78    -11.22    -20.08
40   4.00  22.00   4.00    0.126     -7.49     -8.95    -16.47
40   4.00  22.00   4.00    0.168     -6.46     -7.47    -15.08
40   4.00  30.00   4.50    0.021    -17.88    -22.97      -Inf
40   4.00  30.00   4.50    0.042    -11.51    -15.95    -28.91
40   4.00  30.00   4.50    0.063     -9.19    -12.73    -22.66
40   4.00  30.00   4.50    0.084     -7.94    -10.69    -19.05
40   4.00  30.00   4.50    0.126     -6.65     -8.37    -15.42
40   4.00  30.00   4.50    0.168     -5.67     -6.86    -14.10
40   7.00   3.00   1.00    0.021    -26.21    -27.13      -Inf
40   7.00   3.00   1.00    0.042    -21.36    -22.27    -37.02
40   7.00   3.00   1.00    0.063    -19.10    -20.05    -32.06
40   7.00   3.00   1.00    0.084    -17.55    -18.54    -28.97
40   7.00   3.00   1.00    0.126    -15.37    -16.36    -25.01
40   7.00   3.00   1.00    0.168    -13.50    -14.46    -23.04
40   7.00   3.00   1.00    0.210    -12.86    -12.60    -21.94
40   7.00   5.50   2.00    0.021    -22.65    -24.36      -Inf
40   7.00   5.50   2.00    0.042    -18.00    -19.41    -35.00
40   7.00   5.50   2.00    0.063    -16.04    -17.10    -30.05
40   7.00   5.50   2.00    0.084    -14.79    -15.53    -27.07
40   7.00   5.50   2.00    0.126    -13.02    -13.34    -23.67
40   7.00   5.50   2.00    0.168    -11.23    -11.42    -21.76
40   7.00   5.50   2.00    0.210    -10.41     -9.92    -20.54
40   7.00   9.00   2.50    0.021    -20.42    -23.38      -Inf
40   7.00   9.00   2.50    0.042    -15.80    -18.36    -33.09
40   7.00   9.00   2.50    0.063    -13.89    -15.96    -28.03
40   7.00   9.00   2.50    0.084    -12.73    -14.35    -25.09
40   7.00   9.00   2.50    0.126    -11.11    -12.12    -21.88
40   7.00   9.00   2.50    0.168     -9.35    -10.14    -20.34
