4	3.0	1.0	0.021	-27.29	-28.25	-Inf
4	3.0	1.0	0.042	-20.73	-21.79	-37.00
4	3.0	1.0	0.063	-17.96	-19.22	-30.86
4	3.0	1.0	0.084	-16.20	-17.68	-27.23
4	3.0	1.0	0.126	-14.15	-15.63	-23.04
4	3.0	1.0	0.168	-12.90	-13.99	-20.36
4	5.5	2.0	0.021	-23.82	-25.48	-Inf
4	5.5	2.0	0.042	-17.52	-18.83	-34.90
4	5.5	2.0	0.063	-15.19	-15.97	-28.80
4	5.5	2.0	0.084	-13.92	-14.22	-25.37
4	5.5	2.0	0.126	-12.39	-12.20	-21.73
4	5.5	2.0	0.168	-11.09	-10.85	-19.76
4	9.0	2.5	0.021	-21.59	-24.54	-Inf
4	9.0	2.5	0.042	-15.31	-17.79	-32.93
4	9.0	2.5	0.063	-13.04	-14.83	-26.82
4	9.0	2.5	0.084	-11.82	-13.02	-23.41
4	9.0	2.5	0.126	-10.45	-10.92	-19.90
4	9.0	2.5	0.168	-9.32	-9.50	-18.32
4	15.0	3.5	0.021	-19.74	-23.73	-Inf
4	15.0	3.5	0.042	-13.43	-16.86	-30.99
4	15.0	3.5	0.063	-11.15	-13.79	-24.88
4	15.0	3.5	0.084	-9.95	-11.90	-21.45
4	15.0	3.5	0.126	-8.68	-9.69	-17.90
4	15.0	3.5	0.168	-7.63	-8.23	-16.48
4	22.0	4.0	0.021	-18.64	-23.28	-Inf
4	22.0	4.0	0.042	-12.30	-16.33	-29.79
4	22.0	4.0	0.063	-10.01	-13.19	-23.61
4	22.0	4.0	0.084	-8.78	-11.22	-20.08
4	22.0	4.0	0.126	-7.49	-8.95	-16.47
4	22.0	4.0	0.168	-6.46	-7.47	-15.08
4	30.0	4.5	0.021	-17.88	-22.97	-Inf
4	30.0	4.5	0.042	-11.51	-15.95	-28.91
4	30.0	4.5	0.063	-9.19	-12.73	-22.66
4	30.0	4.5	0.084	-7.94	-10.69	-19.05
4	30.0	4.5	0.126	-6.65	-8.37	-15.42
4	30.0	4.5	0.168	-5.67	-6.86	-14.10
7	3.0	1.0	0.021	-26.21	-27.13	-Inf
7	3.0	1.0	0.042	-21.36	-22.27	-37.02
7	3.0	1.0	0.063	-19.10	-20.05	-32.06
7	3.0	1.0	0.084	-17.55	-18.54	-28.97
7	3.0	1.0	0.126	-15.37	-16.36	-25.01
7	3.0	1.0	0.168	-13.50	-14.46	-23.04
7	3.0	1.0	0.210	-12.86	-12.60	-21.94
7	5.5	2.0	0.021	-22.65	-24.36	-Inf
7	5.5	2.0	0.042	-18.00	-19.41	-35.00
7	5.5	2.0	0.063	-16.04	-17.10	-30.05
7	5.5	2.0	0.084	-14.79	-15.53	-27.07
7	5.5	2.0	0.126	-13.02	-13.34	-23.67
7	5.5	2.0	0.168	-11.23	-11.42	-21.76
7	5.5	2.0	0.210	-10.41	-9.92	-20.54
7	9.0	2.5	0.021	-20.42	-23.38	-Inf
7	9.0	2.5	0.042	-15.80	-18.36	-33.09
7	9.0	2.5	0.063	-13.89	-15.96	-28.03
7	9.0	2.5	0.084	-12.73	-14.35	-25.09
7	9.0	2.5	0.126	-11.11	-12.12	-21.88
7	9.0	2.5	0.168	-9.35	-10.14	-20.34
7	9.0	2.5	0.210	-8.28	-8.75	-19.32
7	15.0	3.5	0.021	-18.56	-22.56	-Inf
7	15.0	3.5	0.042	-13.93	-17.42	-31.17
7	15.0	3.5	0.063	-12.04	-14.93	-26.09
7	15.0	3.5	0.084	-10.92	-13.28	-23.14
7	15.0	3.5	0.126	-9.36	-10.97	-19.94
7	15.0	3.5	0.168	-7.64	-8.98	-18.59
7	15.0	3.5	0.210	-6.48	-7.62	-17.79
7	22.0	4.0	0.021	-17.47	-22.09	-Inf
7	22.0	4.0	0.042	-12.82	-16.88	-29.94
7	22.0	4.0	0.063	-10.92	-14.34	-24.85
7	22.0	4.0	0.084	-9.79	-12.64	-21.84
7	22.0	4.0	0.126	-8.23	-10.27	-18.57
7	22.0	4.0	0.168	-6.51	-8.28	-17.30
7	22.0	4.0	0.210	-5.34	-6.90	-16.66
7	30.0	4.5	0.021	-16.70	-21.76	-Inf
7	30.0	4.5	0.042	-12.04	-16.50	-29.07
7	30.0	4.5	0.063	-10.13	-13.90	-23.93
7	30.0	4.5	0.084	-8.98	-12.16	-20.84
7	30.0	4.5	0.126	-7.42	-9.75	-17.57
7	30.0	4.5	0.168	-5.71	-7.78	-16.34
7	30.0	4.5	0.210	-4.52	-6.36	-15.78
10	3.0	1.0	0.021	-26.37	-27.23	-Inf
10	3.0	1.0	0.042	-22.30	-23.10	-38.05
10	3.0	1.0	0.063	-20.20	-20.99	-33.63
10	3.0	1.0	0.084	-18.68	-19.51	-30.68
10	3.0	1.0	0.126	-16.33	-17.25	-26.77
10	3.0	1.0	0.168	-14.28	-15.28	-24.27
10	3.0	1.0	0.210	-13.41	-13.15	-22.93
10	5.5	2.0	0.021	-22.77	-24.48	-Inf
10	5.5	2.0	0.042	-18.84	-20.34	-36.04
10	5.5	2.0	0.063	-16.97	-18.20	-31.60
10	5.5	2.0	0.084	-15.72	-16.67	-28.78
10	5.5	2.0	0.126	-13.78	-14.30	-25.34
10	5.5	2.0	0.168	-11.89	-12.22	-23.42
10	5.5	2.0	0.210	-10.90	-10.75	-21.92
10	9.0	2.5	0.021	-20.53	-23.51	-Inf
10	9.0	2.5	0.042	-16.64	-19.28	-34.18
10	9.0	2.5	0.063	-14.84	-17.09	-29.61
10	9.0	2.5	0.084	-13.67	-15.52	-26.77
10	9.0	2.5	0.126	-11.86	-13.11	-23.57
10	9.0	2.5	0.168	-9.96	-10.99	-21.90
10	9.0	2.5	0.210	-8.89	-9.61	-20.63
10	15.0	3.5	0.021	-18.68	-22.68	-Inf
10	15.0	3.5	0.042	-14.79	-18.37	-32.30
10	15.0	3.5	0.063	-13.00	-16.09	-27.63
10	15.0	3.5	0.084	-11.88	-14.49	-24.84
10	15.0	3.5	0.126	-10.12	-12.01	-21.64
10	15.0	3.5	0.168	-8.24	-9.88	-20.12
10	15.0	3.5	0.210	-7.10	-8.55	-19.05
10	22.0	4.0	0.021	-17.59	-22.20	-Inf
10	22.0	4.0	0.042	-13.68	-17.83	-31.04
10	22.0	4.0	0.063	-11.90	-15.51	-26.39
10	22.0	4.0	0.084	-10.77	-13.88	-23.55
10	22.0	4.0	0.126	-9.02	-11.35	-20.29
10	22.0	4.0	0.168	-7.13	-9.21	-18.85
10	22.0	4.0	0.210	-5.94	-8.15	-17.98
10	30.0	4.5	0.021	-16.82	-21.87	-Inf
10	30.0	4.5	0.042	-12.92	-17.45	-30.17
10	30.0	4.5	0.063	-11.13	-15.10	-25.48
10	30.0	4.5	0.084	-9.98	-13.43	-22.58
10	30.0	4.5	0.126	-8.23	-10.87	-19.31
10	30.0	4.5	0.168	-6.35	-8.74	-17.92
10	30.0	4.5	0.210	-5.08	-7.36	-17.11
15	3.0	1.0	0.021	-27.23	-28.00	-Inf
15	3.0	1.0	0.042	-23.65	-24.35	-39.93
15	3.0	1.0	0.063	-21.61	-22.31	-35.79
15	3.0	1.0	0.084	-20.06	-20.81	-32.90
15	3.0	1.0	0.126	-17.58	-18.43	-28.96
15	3.0	1.0	0.168	-15.41	-16.38	-26.36
15	3.0	1.0	0.210	-14.23	-14.07	-24.49
15	5.5	2.0	0.021	-23.56	-25.32	-Inf
15	5.5	2.0	0.042	-20.09	-21.68	-37.92
15	5.5	2.0	0.063	-18.25	-19.62	-33.76
15	5.5	2.0	0.084	-16.94	-18.06	-31.01
15	5.5	2.0	0.126	-14.84	-15.53	-27.43
15	5.5	2.0	0.168	-12.87	-13.35	-25.23
15	5.5	2.0	0.210	-11.64	-11.60	-23.32
15	9.0	2.5	0.021	-21.33	-24.33	-Inf
15	9.0	2.5	0.042	-17.91	-20.65	-36.06
15	9.0	2.5	0.063	-16.13	-18.54	-31.83
15	9.0	2.5	0.084	-14.88	-16.94	-28.99
15	9.0	2.5	0.126	-12.89	-14.38	-25.59
15	9.0	2.5	0.168	-10.92	-12.18	-23.59
15	9.0	2.5	0.210	-9.49	-10.60	-22.20
15	15.0	3.5	0.021	-19.48	-23.50	-Inf
15	15.0	3.5	0.042	-16.08	-19.75	-34.22
15	15.0	3.5	0.063	-14.31	-17.58	-29.84
15	15.0	3.5	0.084	-13.11	-15.96	-27.05
15	15.0	3.5	0.126	-11.17	-13.34	-23.67
15	15.0	3.5	0.168	-9.19	-11.11	-21.78
15	15.0	3.5	0.210	-7.82	-9.49	-20.39
15	22.0	4.0	0.021	-18.39	-23.02	-Inf
15	22.0	4.0	0.042	-14.97	-19.23	-32.97
15	22.0	4.0	0.063	-13.23	-17.03	-28.58
15	22.0	4.0	0.084	-12.03	-15.39	-25.77
15	22.0	4.0	0.126	-10.09	-12.71	-22.34
15	22.0	4.0	0.168	-8.11	-10.47	-20.51
15	22.0	4.0	0.210	-6.62	-8.85	-19.27
15	30.0	4.5	0.021	-17.64	-22.68	-Inf
15	30.0	4.5	0.042	-14.21	-18.85	-32.07
15	30.0	4.5	0.063	-12.46	-16.64	-27.68
15	30.0	4.5	0.084	-11.25	-14.98	-24.83
15	30.0	4.5	0.126	-9.32	-12.27	-21.37
